review_text,noun_phrases,reconstructed_sentence
"If the view on the Pantheon is not enough, the food, wine and service are also great.
I tried spaghetti carbonara - the only comment here is that guanciale bits were on the softer and less crispy side (but that's up to the personal preference).
I was served a glass of great wine that went perfectly with the pasta.
And the bread (not complimentary but it will be served to you even if you don't order it) was just amazing","{'food': ['also great', 'great'], 'service': [], 'ambiance': []}","food is great, also great."
"Classic Rome - fantastic in every way, food, service and atmosphere.","{'food': [], 'service': [], 'ambiance': []}",
"This place was lousy, his food very salty, his attention very slow, and his bad attitude of personal, just one guy Latino that was great.  I do not recommend this place.

Dishes: carbonara pasta, chicken giblets pasta.","{'food': ['lousy', 'salty'], 'service': [], 'ambiance': []}","food is lousy, salty."
"Excellent food! One of the best meals I had during my trip to Rome. Enjoyed the anchovies starter which was a special for the day. The black truffle spaghetti was divine - simple and tossed in olive oil, bringing out the beautiful aroma and flavour from the black truffles. The wine pairing that was recommended perfectly complemented the food. Tiramisu was great as well. Highly recommended and would definitely visit again!","{'food': ['excellent', 'the best'], 'service': [], 'ambiance': []}","food is the best, excellent."
"Armando is a nice, cozy restaurant near the pantheon (going out of the restaurant after dinner and facing the monument is definitely a plus). I am usually suspicious of the quality of the restaurants downtown, so I was a bit hesitant about going there. But, I am glad we did; our meal was fantastic and it lives up to the expectations. My friend and I had pasta a la griccia, carbonara, and the smoked lamb. Everything was delicious, and service was efficient.

There are only 15 tables in the restaurant. Therefore, making a reservation is a must (and one can do it online). It is important to note that prices are definitely on the expensive side of the spectrum (which was expected given the restaurant’s location).","{'food': ['fantastic'], 'service': ['efficient'], 'ambiance': []}",food is fantastic. service is efficient.
Traditional Roman cuisine.  Great knowledgeable staff.,"{'food': ['traditional roman'], 'service': ['great knowledgeable'], 'ambiance': []}",food is traditional roman. service is great knowledgeable.
"Outstanding find in Rome! The Vegetarian food was delicious... special mention to the Eggplant Parmigiana and the black truffle pasta!
The service was an absolute delight with the waiters, smiling and every ready to help!
A well deserved Michelin Star!","{'food': ['the vegetarian', 'delicious'], 'service': ['absolute', 'absolute'], 'ambiance': []}","food is the vegetarian, delicious. service is absolute."
"Perfect Saturday lunch, best pasta we had in Rome!  Other than the amazing dishes, the chef and staff were all so friendly, making it such a great experience.  Make sure to book in advance as we saw many guests turned down.","{'food': ['other', 'the amazing', 'perfect'], 'service': [], 'ambiance': []}","food is other, perfect, the amazing."
"Great place. Everything we had was delicious, the prices were reasonable. Although pretty much all of the restaurant was filled with tourists it felt authentic. I would definitely visit again on my next trip to Rome","{'food': [], 'service': [], 'ambiance': []}",
"I can add myself to the long list of excellent reviews of this restaurant. Everything on the menu is excellent although for me the artichoke romana was so good I could make a meal of it. If people don’t like this place then the problem is them. Reserve, show up on time and prepare to enjoy.

I would like to add an additional comment.  There were many reviews remarking about rude treatment directed specifically against Asians which I did not witness.  What we did see when we were there for dinner was a Japanese woman with her husband being greeted, hugged actually, by the chef who had come from the kitchen to embrace them and welcome them warmly for dinner.  For the record I did not see him come out for anyone else the rest of the evening.  I do know this is a popular place, reservations are required and showing up on time is important and considerate.  Just because a table looks empty doesn't mean it has not been reserved.","{'food': [], 'service': [], 'ambiance': []}",
"My husband and I greatly enjoyed our meal at Armando Al Pantheon- the service was good, friendly staff who spoke English, and the food was delicious! We loved the slow roasted duck with prunes.","{'food': ['delicious', 'delicious', 'good'], 'service': ['good', 'good', 'friendly'], 'ambiance': []}","food is delicious, good. service is good, friendly."
"Good one, I simply didn't like being charged for bread without being told","{'food': [], 'service': [], 'ambiance': []}",
"I can't understand all the high reviews this restaurant gets.  We travel and eat out a lot, speak Italian, and while in Rome went to many restaurants, all fabulous but this one.  It is a tiny restaurant and was featured on Stanley Tucchi's series about eating in Italy so it gets many tourists.  They gave you every impression that you weren't wanted.  We were there in July and requested a table outside, but they seated us, and all other tourists,  inside while all the locals, which arrived after us, were seated outside to enjoy the gorgeous evening and view of the Pantheon.  The atmosphere inside felt like a morgue, including a bad odor which we smelled the minute we walked in.  Service was incredibly slow as all the waiters were focused on serving the tables of locals outside.  We ordered an antipasti and a pasta each and they never brought the antipasti.  Our pasta was fine, but no better than any of the other restaurants we ate at in Italy.  Really do yourself and them a favor, and eat somewhere else.","{'food': [], 'service': ['incredibly slow'], 'ambiance': []}",service is incredibly slow.
"I wish I knew of Armando Al Pantheon when I was a student studying a few blocks away -- not that I would have been able to go, but it would have been a perfect ""parents"" meal. Intimate, historic, traditional. Incredibly tasty. And some great art on the walls to just top it off. (We happened to eat beneath a Renzo Piano sketch.)

Don't be distracted by the proximity to its namesake -- there is nothing ""tourist trap"" about this restaurant. If only we had more meals to eat on our recent trip . . .","{'food': ['a perfect', 'more'], 'service': [], 'ambiance': []}","food is more, a perfect."
Fantastic dinner. The pasta was to die for. Very good ambience and service. Reservation is recommended. Just round the corner from the pantheon. Perfect place to end the day after city tour,"{'food': ['fantastic'], 'service': ['very good'], 'ambiance': []}",food is fantastic. service is very good.
Pumpkin soup and calamari entree were our nights special and was fabulous!  Lamb and Roman artichoke side were fine but not anything to get excited. Good local cuisine restaurant.  Strongly recommends reservations.,"{'food': ['good', 'local'], 'service': [], 'ambiance': []}","food is good, local."
"Great Roman fare. Not a tourist trap right near Pantheon. Good simple delicious food. The pasta is really good here, fresh.","{'food': ['good simple delicious'], 'service': [], 'ambiance': []}",food is good simple delicious.
"Since 1961 Armando Al Pantheon has been serving traditional Roman fare in the shadow of a timeless landmark, and although tourists have started to catch on, the tiny wood-paneled room is still largely populated by locals who desire a taste of Chef Claudio Gargioli’s hearty and historic Food.

Family owned for nearly sixty years, sons Claudio and Fabrizio as well as and granddaughter Fabiana now operating front and back of house, it is immediately upon entry that guests will note just fourteen tables, servers regularly turning away potential patrons who have unfortunately failed to make the requisite reservation.

Rooted in history, and closed Saturday after lunch service through to Monday, it is once seated that guests are offered Bread and Beverage, plus a menu full of dishes that date-back centuries and a few daily specials.

Still finding Chef Claudio involved, on this day touching tables and signing copies of his cookbook, it was after some debate that lunch was ordered in four courses, a starter of “Anchovy Cake” finding briny bits countered by Pine Nuts and Tomatoes while textural diversity was dialed up by Bread Crumbs and Cracklings.

Following Roman tradition in offering plenty of Offal, housemade Fettuccine achieving excellence despite using anything but the parts typically considered “desirable,” Armando Al Pantheon’s Tripe is tender and flawless, Mint coming in mid-palate and quickly dissipating while Black Pepper and Tomato linger at the finish.

Well known for “Torta Antica Roma,” a dish reportedly invented by Claudio Gargioli that clearly takes notes from Pasticceria Boccione and others, guests can expect to see a slice on every table to finish, and after the first bite of crumbled Topping, soft Cheese and Jam it is easy to understand why.","{'food': ['historic', 'hearty', 'full', 'a full'], 'service': [], 'ambiance': []}","food is full, a full, historic, hearty."
"All you can do sometimes is relate your experience.... and this one was a little strange....
We made an reservation and we arrived on time.  We ordered two simple pasta dishes.  45 minutes later they came to apologize - they said the cook was ""having trouble with the pasta"" something about not making enough hot water?  Ok, that's weird.  At least we had a bottle of wine to drink while we watched them serve plate after plate of pasta to other guests, some of whom arrived after we did.
When our meals arrived, it was immediately clear that the pasta was not cooked; it was almost crunchy in the middle.  BOTH of our dishes were this way!  It was not edible, so we pushed our plates away and waited for the waiter to come.   He explained our pasta was simply, ""al dente"" and that we were wrong - did he just get snippy with us?    After months worth of traveling in Italy, and our second month in Rome specifically, we have eaten a ton of pasta and know what ""al dente""  is!  Ridiculous!   They were having trouble in the kitchen and we paid the price I guess.  We left without having eaten.  With so many good places to eat in Rome, we will never go back.  Not a good experience.","{'food': ['two simple'], 'service': [], 'ambiance': []}",food is two simple.
zero ambience. good ok. can’t really understand why it’s so highly recommended,"{'food': [], 'service': [], 'ambiance': []}",
"Great food, one of the old school restaurants in Rome. Considering there are a lot touristy places around, it is really refreshing to see good roman meals, served from professionals with experience and meeting the expectations completely. If you want honest food served at reasonable prices, this is the place to be.","{'food': ['great', 'honest', 'good roman'], 'service': [], 'ambiance': []}","food is good roman, great, honest."
I can’t say enough about Armando al Pantheon!! My husband and I snagged a last minute 10pm reservation online the day of (check their website or call ahead - don’t just show up). Everything we ate was delectable and the pasta was so fresh which was exactly what we were looking for. The restaurant’s sommelier comes to your table with their extensive wine list and recommends what will go best with your meal. We chose a white blend that paired extremely well. Don’t miss dessert.. the brioche with whipped cream and the chocolate mousse were to die for. Don’t be fooled by its location - this place offers good quality food and service.,"{'food': ['good quality', 'best', 'extensive'], 'service': ['quality', 'good'], 'ambiance': []}","food is best, extensive, good quality. service is quality, good."
Excellent restaurant well worth the 4079 miles traveled to enjoy dinner. Well prepared and thought out. The staff was amazing and truly brought the chef's vision the life. Providing such a wonderful experience that only could be provided by a team who is passionate about what they do. Simply the best!!,"{'food': [], 'service': ['amazing'], 'ambiance': []}",service is amazing.
Words cannot describe the taste of food here. You have to go and eat here to realize how good this is. Book atleast in advance. This place is always booked for lunch/dinner always a week in advance.,"{'food': [], 'service': [], 'ambiance': []}",
"I was expecting much more of this place since it was recommended by friends. It’s next to The Pantheon so very convenient if you are visiting the area.

The food is good but nothing out of the common. Service is friendly and accommodating. Prices are high.

Reservations are recommended.","{'food': ['good'], 'service': ['friendly'], 'ambiance': []}",food is good. service is friendly.
"Prior to going to Rome, I googled restaurants and Armando al Pantheon came up as a ""must go"" suggestion. And I have to say the review and suggestion was spot on. The restaurant is located within the same area/square as the Pantheon and it is a nice quiet location. The server was very polite and patient with us two Americans trying to decide what we wanted. The atmosphere was great and the food was AMAZING. I had the Veal and potatoes, and it did not disappoint (sidenote: it was a great portion size as well). I would definitely go back when I'm in Rome again. I completely recommend this restaurant.","{'food': ['amazing', 'great'], 'service': ['very polite'], 'ambiance': ['great']}","food is great, amazing. service is very polite. ambiance is great."
"Food, Wine and service everything here was top notch! Ordered mostly from the specials, and had a great dinner!","{'food': ['top', 'a great'], 'service': [], 'ambiance': []}","food is top, a great."
"Wonderful Roman food. Must have a reservation, make it a week in advance. Great experience. Staff made great recommendations on food and wine.","{'food': ['wonderful roman', 'great'], 'service': [], 'ambiance': []}","food is wonderful roman, great."
Great food and great value for money which you would not at all expect in such a location. The small terrace with view in the Pantheon is very romantic and the service and staff were extremely accommodating and friendly!,"{'food': ['great'], 'service': ['extremely accommodating'], 'ambiance': []}",food is great. service is extremely accommodating.
"pasta a bit on the soft and wet side, but overall great place to have a quick stop over and bite.","{'food': [], 'service': [], 'ambiance': []}",
"I found this place in a list of Rome's ten best restaurant. I wasn't disappointed. Very nice food, very Roman in style. The sommelier was of great help to combine the right wine with what I was eating. That adds a lot to the experience. I will surely come back there. Service was impeccable, you can't appreciate that enough these days. Highly recommended.","{'food': ['nice', 'the right'], 'service': ['impeccable'], 'ambiance': []}","food is nice, the right. service is impeccable."
"We’re really glad that we made a reservation in advance. Not surprised this is a popular restaurant after we had our first dinner in Roma with delicious dishes, fine red wine and excellent service!! The waiters were so thoughtful that they served every dishes with two plates. It was a really nice dining experience!!","{'food': ['delicious', 'delicious', 'fine red'], 'service': ['excellent', 'delicious', 'so thoughtful'], 'ambiance': []}","food is delicious, fine red. service is so thoughtful, delicious, excellent."
"Very good pasta, amazing wine! But the meat is a bit dry, so would recommend only taking pasta and wine and dessert","{'food': ['amazing', 'very good'], 'service': [], 'ambiance': []}","food is very good, amazing."
Great food! Wonderful location for lunch next too The Pantheon.,"{'food': ['great', 'wonderful'], 'service': [], 'ambiance': []}","food is great, wonderful."
"We had an amazing meal at Armando on our first night in Rome. It's true, it is heavily trafficked by foreigners and tourists during dinner time, but they have not let the quality of the food slip. The pasta's were killer, including the Gricia, Aglio e Oili (which was quite spicy!) and the pasta with chicken livers. The veal was also very good, and the tripe was excellent. Service was spot on, and we had some excellent natural wine recommendations from our enthusiastic server. Be sure to get a reservation ahead of time! Lots if people stopping in and being turned away with no res.","{'food': ['an amazing', 'natural', 'excellent'], 'service': ['spot', 'enthusiastic', 'natural', 'excellent'], 'ambiance': []}","food is natural, an amazing, excellent. service is enthusiastic, natural, spot, excellent."
"Great​ service, not​ too​ expensive, reservation is​ suggest​ed.​ For​ the​ taste, I​ assume Italian​ food​ should​ be​ very​ salty.​ I​ have​ tried​ at​ quite​ a​ few places, the​ food​ is​ always​ salty, but​ the​ quality​ is​ great​","{'food': ['italian\u200b', 'the\u200b'], 'service': ['great\u200b', 'expensive'], 'ambiance': []}","food is italian​, the​. service is great​, expensive."
"The restaurant was awarded by gamberorosso guide of 2019 with high recommendation. Location is very close to Pantheon. Must make a reservation before, or you won't able to dine there. The lunch was amazing. I had baked bruschetta with zucchini for the starter(daily special), half portion of spaghetti alla carbonara for primo, the stewed oxtail for the secondo(also daily special), tiramisu for the dessert. Everything was great, the waiter was very nice. That's my best meal in Rome:))","{'food': ['best', 'amazing', 'half', 'daily special'], 'service': ['very nice'], 'ambiance': []}","food is amazing, daily special, half, best. service is very nice."
"The prices are a bit high, but the quality of the meals and service is impeccable","{'food': [], 'service': [], 'ambiance': []}",
"Delicious, simple Italian food in a relaxing, charming, friendly setting. No more upscale for me in Rome. Armando's per sempre!","{'food': ['delicious simple italian'], 'service': [], 'ambiance': []}",food is delicious simple italian.
"Good not great. Possibly spoilt by having had lunch at Il Pagliaccio earlier in the day. Amatriciana, barley zuppa, sausages, and Guinea fowl were good. Very busy, you must make reservations.","{'food': [], 'service': [], 'ambiance': []}",
"Nice for Roman food, in cae of you don't know what Roman food is, check before.
Book a table in advance","{'food': ['nice', 'roman'], 'service': [], 'ambiance': []}","food is nice, roman."
"Alucinante! Just perfect 👌🏼

Traditional pasta 🍝","{'food': [], 'service': [], 'ambiance': []}",
The carbonara and anchovie appetizer we had was amazing. The prices are reasonable for pasta in Roma (€13 for a dish). The bacon in the pasta was probably the best I have ever had. It is a must if you can get a table. Try for a reservation beforehand if possible. Right next to the Pantheon but not touristy at all. The patrons were locals and knew the waiting staff.,"{'food': ['amazing'], 'service': [], 'ambiance': []}",food is amazing.
Great food and friendly service! Most of staff spoke excellent English.,"{'food': ['great'], 'service': ['great', 'friendly', 'most'], 'ambiance': []}","food is great. service is great, most, friendly."
Very nice place and roman cousins. Follow @villavistalago on Instagram and book your Holiday,"{'food': [], 'service': [], 'ambiance': []}",
Not much to say. Awesome food. Wonderful service. (Make sure you reserve.),"{'food': ['awesome'], 'service': ['wonderful'], 'ambiance': []}",food is awesome. service is wonderful.
Good pasta and artichoke. Friendly staff.,"{'food': [], 'service': ['friendly'], 'ambiance': []}",service is friendly.
"Fantastic. Armando al pantheon has a lovely ambience of family and history. With very few tables diners are able to enjoy their meals in the best way. I made my reservation 6 weeks in advance! The food was fresh simple and delicious. True roman homestyle cooking, and the sommelier gave us a wonderful wine paring along with our meal. Everything was great truly.","{'food': ['simple fresh', 'wonderful'], 'service': [], 'ambiance': ['able', 'few']}","food is simple fresh, wonderful. ambiance is able, few."
"To me, food just doesn't taste good. I've been traveling in Italy for over 2 weeks now and had lots of great food in other cities, and none of my other meals costs as much as this one.  It's quite pricey here , the portion is small, the grilled pork with ham and sage costs 16€. You can make your own judgment based on the picture . food taste too salty to me. I don't recommend this place .","{'food': ['too salty', 'great', 'good', 'other', 'small'], 'service': [], 'ambiance': []}","food is too salty, great, small, other, good."
"Distinctly average all round. No atmosphere inside and mostly tourists. Food is edible - but truly one of the worst meals I’ve eaten in Rome. If you’re looking for authentic Roman classics, you’re better off at several other restaurants. Meat is tough and leathery, vegetables taste canned or overboiled, bread is stale. What would have made up for it - atmosphere, decor etc - is non existent. Definitely a tourist trap. For the people saying it’s the best amatriciana in Rome- dear god. Please cross the river and eat anywhere in Trastevere.","{'food': ['edible', 'the worst'], 'service': [], 'ambiance': []}","food is edible, the worst."
"Fine bruschetta, good wine and pasta.","{'food': ['fine', 'good'], 'service': [], 'ambiance': []}","food is fine, good."
"The food was okay.  We had carbonara, bruschetta and  duck and the service was okay.","{'food': [], 'service': [], 'ambiance': []}",
"Best cacio e pepe I’ve ever had in my life! The tiramisu was out of this world. Always make a reservation, they don’t accept walk ins","{'food': [], 'service': [], 'ambiance': []}",
Great service and great location! Nice to visit when is around Pantheon. Might need to reserve beforehand or just come early.,"{'food': [], 'service': ['great'], 'ambiance': []}",service is great.
Very good and simple food. Wonderful very friendly service :),"{'food': ['simple', 'very good'], 'service': ['wonderful friendly'], 'ambiance': []}","food is very good, simple. service is wonderful friendly."
"Excellent local food, best carbonara I had in Rome","{'food': ['excellent local'], 'service': [], 'ambiance': []}",food is excellent local.
"This place has ruined cacio e pepe for me - I have yet to find a place to live up to the standard they've set. Also enjoyed the Roman style artichoke, truffle toast, and cafe corretto.","{'food': [], 'service': [], 'ambiance': []}",
Dinner here was superb. Started with the Saltimbocca Alla Romana which was delicious. Moved on to Spaghetti alla Carbonara which was just perfectly cooked. For dessert we indulged a little and got the tiramisu and a strawberry tart. Overall probably the best meal we had in Rome. Found out after the fact this is where Stanley Tucci came during his Finding Italy Rome show and had the rigatoni all'amatrician which means I now have to come back and try that one day.,"{'food': ['overall probably the best', 'a little', 'superb'], 'service': [], 'ambiance': []}","food is a little, overall probably the best, superb."
Amazing! Must make a reservation bracuse this place is busy,"{'food': [], 'service': [], 'ambiance': []}",
"Cosy little restaurant.
Great service.
Local food.
Great taste.
No terrace but good airco.","{'food': ['local', 'great'], 'service': ['great'], 'ambiance': []}","food is great, local. service is great."
"Best meal of our trip to Rome. Traditional food, but not touristy in a quiet and relaxed setting near the Pantheon. Two hour lunch out of the heat and the best dolce I have eaten anywhere - maritozzo con gelato.","{'food': ['traditional', 'best'], 'service': [], 'ambiance': []}","food is traditional, best."
Delicious homely food with efficient service. Please make reservations days in advance,"{'food': ['delicious homely'], 'service': ['efficient', 'homely', 'delicious'], 'ambiance': []}","food is delicious homely. service is efficient, homely, delicious."
"Went here for a nicer Italian meal during our trip to Rome, and was the best quality food we had the entire trip, which is saying a lot as we had the good fortune of having many amazing meals. The pasta was phenomenal,  and the cod as a main was cooked in a very delicious sauce. Surprisingly it is right near the Pantheon, where you would expect all the tourist trap restaurants and poor quality, but it was the complete opposite, and reasonably priced for a high quality dinner.","{'food': ['the best', 'a nicer italian', 'many amazing'], 'service': [], 'ambiance': []}","food is the best, many amazing, a nicer italian."
"It is recommended by almost every guide and quite understandably so. Tasty dishes, relaxed atmosphere, friendly service with a smile","{'food': ['tasty'], 'service': ['tasty', 'friendly'], 'ambiance': ['tasty', 'relaxed']}","food is tasty. service is tasty, friendly. ambiance is tasty, relaxed."
The service was excellent and all the dishes was very tasty ! The staff was very helpful and polite !,"{'food': ['very tasty'], 'service': ['excellent', 'very helpful'], 'ambiance': []}","food is very tasty. service is excellent, very helpful."
Amazing restaurant👌. really authentic Italian food. Highly recommend. Booking is must tho.,"{'food': ['authentic italian'], 'service': [], 'ambiance': []}",food is authentic italian.
"Great trattoria, surprisingly good considering that is lies just behind Pantheon. Not a fancy place, but still a bit more classy than your normal trattoria. Small place, need to book well in advance.","{'food': [], 'service': [], 'ambiance': []}",
We ate with my family and the food was to our liking. My children liked the carbonara very much. Roast potatoes also good. The restaurant is a few meters from the Pantheon and therefore a tourist area. Maybe the bill was a little expensive but what do you want we are in the center of Rome. Must try.,"{'food': [], 'service': [], 'ambiance': []}",
"3.5 stars if that were possible. A friend who is a chef recommended this place so I had the highest hopes. Went at opening time without a reservation and was pleased that they took me in, I don’t think the manager was very happy with the waiter for that since I was a solo eater-that made me uncomfortable since she scoffed at us both. Had the cacio e pepe which was good but by no means memorable, the tiramisu was delicious. Really not worth the hype.","{'food': [], 'service': ['very happy', 'very happy'], 'ambiance': []}",service is very happy.
I usually come here 'cause is very close to my office. Very tipycal roman kitchen at a top level! Very professional staff with a marvelous woman's sommelier! Highly recommended!,"{'food': [], 'service': ['professional'], 'ambiance': []}",service is professional.
"Amazing food, great local dishes and a small menu - one of the signs that you are eating freshly cooked food!","{'food': ['amazing', 'great local', 'amazing', 'amazing', 'a small'], 'service': [], 'ambiance': []}","food is great local, amazing, a small."
"Really great food, we just made it before they close for lunch.  Had the pastas","{'food': ['great'], 'service': [], 'ambiance': []}",food is great.
"Awe inspiring architecture! Built between 118  125 AD, it is the best preserved ancient Roman construction in Rome! The huge dome is awe inspiring! Raphael is buried here! Free entrance. Closes at 19:30.","{'food': [], 'service': [], 'ambiance': []}",
Food very food. Service food. Price ok.,"{'food': [], 'service': [], 'ambiance': []}",
"I had the best pasta dish I have ever had at Armando al Pantheon! I recommend it to anyone who is in Rome. Try to make a reservation because they’re usually pretty busy
Can’t wait to go back!","{'food': ['the best'], 'service': [], 'ambiance': []}",food is the best.
"Excellent food, fabulous atmosphere, great service. We tend to try new places whenever we return to a city, but when in Rome, we go to Armando’s at least once!","{'food': ['excellent'], 'service': ['great', 'excellent'], 'ambiance': ['excellent', 'fabulous']}","food is excellent. service is great, excellent. ambiance is excellent, fabulous."
Authentic Roman cuisine. Many common Italian dishes but if you are an adventurous eater you can also find something very different here. They are serious about the quality of their dishes.  Small charming restaurant that is always full. You must have a reservation or will be cordially turned away. We got lucky and had the presence of Steve Martin and his party in the restaurant. It was nice to see they were left alone to enjoy their meal while at the same time the staff treated everyone in the restaurant like a celebrity.,"{'food': ['many common italian', 'authentic roman'], 'service': [], 'ambiance': []}","food is authentic roman, many common italian."
Excellent food near the Pantheon,"{'food': ['excellent'], 'service': [], 'ambiance': []}",food is excellent.
Good fish dishes.,"{'food': ['good'], 'service': [], 'ambiance': []}",food is good.
"Absolutely loved our dining experience here! Efficient service and a very interesting wine list make dinner perfect every time. Armando's is definitely one of our favourite bistrots in Rome.

Reservations are mandatory to avoid disappointment. Don't be late either, lest you lose the table to the queue outside!","{'food': ['perfect', 'very interesting'], 'service': ['efficient', 'perfect'], 'ambiance': []}","food is perfect, very interesting. service is efficient, perfect."
"I asked a tall waiter for a table of 6, he instantly said we dont have room and pushed me out of the way to get to the table he was serving, which caused me to slam into the wall and hurt my leg, he did not apologize.","{'food': [], 'service': ['a tall'], 'ambiance': []}",service is a tall.
Traditional roman food just a step from Pantheon.,"{'food': ['traditional roman'], 'service': [], 'ambiance': []}",food is traditional roman.
"We visited Da Armando last Saturday evening and were to made to feel very welcome. The food was excellent and all the staff we encountered were extremely professional and very friendly. The cacio el pepe and lamb were delicious, as was the wine. Will be back on our next trip to Rome!","{'food': ['excellent', 'delicious'], 'service': ['extremely professional'], 'ambiance': []}","food is delicious, excellent. service is extremely professional."
"Whenever I am in Rome, I always stop by for lunch. Reservations required","{'food': [], 'service': [], 'ambiance': []}",
